Partners,Balance-2004,Balance-2005,Balance-2006,Balance-2007,Balance-2008,Balance-2009,Balance-2010,Balance-2011,Balance-2012,Balance-2013,Balance-2014,Balance-2015,Balance-2016,Balance-2017,Balance-2018,Balance-2019,Balance-2020,Balance-2021,Balance-2022,Balance-2023
Philippines,-247385,-191309,-449105,-669534,-669661,-472369,-562582,-699017,-882972,-618215,-737374,-1313952,-1809059,-1446344,-1247211,-1563042,-1431896,-1805013,-1675922,-1730260
Pitcairn,0,0,0,-21,-32,-257,-7,29,0,269,0,-25,-191,213,-513,-6553,0,-30,,
Poland,-471066,-685276,-131068,-322510,-434640,-149198,-1797670,-2447830,-2936390,-4545766,-6189222,-6900365,-7529435,-8032150,-9766196,-11226232,-10841415,-10311538,-9586566,-20690147
Portugal,-80652,274860,602612,569901,1921186,645901,215848,-138498,-602181,-907069,-678402,-947289,-993445,-827554,-498236,-1617989,-798338,-1797486,-2678687,-2811859
Qatar,-614631,-828668,-1060701,-484000,-993167,-559877,-733427,-3393793,-3395615,-1957673,-3749341,-5929204,-4381543,-1330853,-2602121,-1884454,-270588,-2837117,-5665415,-5147852
Romania,103710,-74848,-50262,280216,154128,-483059,-685705,-1577914,-722171,-862502,-2914138,-3262754,-2968288,-3841920,-4580531,-5636880,-3382057,-3261701,-3919218,-3688223
Russian Federation,370505,-180145,-1155714,-2905916,-514754,-2044229,1252645,939427,1839994,241417,-974086,-2452285,310538,-483104,-1492023,-2204164,-2411302,-3123646,-4330960,-4430036
Rwanda,73291,62019,71561,104164,238176,193537,176406,182087,218788,292600,348712,330070,414329,358367,723260,427655,1330896,316800,438830,677838
Saint Helena,45290,50487,64542,224941,76675,62577,40980,66901,230860,135996,215730,103474,230577,268259,121432,103688,111548,127694,176040,167745
Saint Kitts and Nevis,301,943,27,990,2409,-348,663,604,662,173,2772,127,-366,53,-1172,101,654,-236,4717,-147
